sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
WHOM_1	2	1000	2.00E+05	0.0015625	0.003125	-4
WHOM_2	2	1000	2.00E+05	0.015625	0.03125	-4
WHOM_3	2	1000	2.00E+05	0.03125	0.0625	-4
WHOM_4	2	1000	2.00E+05	0.0625	0.125	-4
WHOM_5	2	1000	2.00E+05	0.125	0.25	-4
WHOM_6	2	1000	2.00E+05	0.25	0.5	-4
WHOM_7	2	1000	2.00E+05	0.5	1	-4
WHOM_8	2	1000	2.00E+05	1	2	-4
WHOM_9	2	1000	2.00E+05	2	4	-4
WHOM_10	2	1000	2.00E+05	4	8	-4
WHOM_11	2	1000	2.00E+05	8	16	-4
WHOM_12	2	1000	2.00E+05	16	32	-4
WHOM_1	8	10000	8.00E+06	0.0015625	0.003125	0
WHOM_2	7	10000	7.00E+06	0.015625	0.03125	0
WHOM_3	10	10000	1.00E+07	0.03125	0.0625	0
WHOM_4	10	10000	1.00E+07	0.0625	0.125	0
WHOM_5	9	10000	9.00E+06	0.125	0.25	0
WHOM_6	5	10000	5.00E+06	0.25	0.5	0
WHOM_7	5	10000	5.00E+06	0.5	1	0
WHOM_8	5	10000	5.00E+06	1	2	0
WHOM_9	4	10000	4.00E+06	2	4	0
WHOM_10	3	1000	3.00E+05	4	8	0
WHOM_11	11	1000	1.10E+06	8	16	0
WHOM_12	11	1000	1.10E+06	16	32	0
WHOM_1	10	10000	1.00E+07	0.0015625	0.003125	1
WHOM_2	13	10000	1.30E+07	0.015625	0.03125	1
WHOM_3	16	10000	1.60E+07	0.03125	0.0625	1
WHOM_4	12	10000	1.20E+07	0.0625	0.125	1
WHOM_5	12	10000	1.20E+07	0.125	0.25	1
WHOM_6	10	1000	1.00E+06	0.25	0.5	1
WHOM_7	13	100	1.30E+05	0.5	1	1
WHOM_8	7	100	7.00E+04	1	2	1
WHOM_9	6	100	6.00E+04	2	4	1
WHOM_10	3	100	3.00E+04	4	8	1
WHOM_11	3	100	3.00E+04	8	16	1
WHOM_12	10	100	1.00E+05	16	32	1
WHOM_1	11	10000	1.10E+07	0.0015625	0.003125	2
WHOM_2	12	10000	1.20E+07	0.015625	0.03125	2
WHOM_3	12	10000	1.20E+07	0.03125	0.0625	2
WHOM_4	10	10000	1.00E+07	0.0625	0.125	2
WHOM_5	5	10000	5.00E+06	0.125	0.25	2
WHOM_6	3	1000	3.00E+05	0.25	0.5	2
WHOM_7	3	100	3.00E+04	0.5	1	2
WHOM_8	4	100	4.00E+04	1	2	2
WHOM_9	3	10	3.00E+03	2	4	2
WHOM_10	4	10	4.00E+03	4	8	2
WHOM_11	6	10	6.00E+03	8	16	2
WHOM_12	5	10	5.00E+03	16	32	2
WHOM_1	32	10000	3.20E+07	0.0015625	0.003125	3
WHOM_2	24	10000	2.40E+07	0.015625	0.03125	3
WHOM_3	22	10000	2.20E+07	0.03125	0.0625	3
WHOM_4	22	10000	2.20E+07	0.0625	0.125	3
WHOM_5	5	10000	5.00E+06	0.125	0.25	3
WHOM_6	13	100	1.30E+05	0.25	0.5	3
WHOM_7	4	100	4.00E+04	0.5	1	3
WHOM_8	13	10	1.30E+04	1	2	3
WHOM_9	6	10	6.00E+03	2	4	3
WHOM_10	4	10	4.00E+03	4	8	3
WHOM_11	5	10	5.00E+03	8	16	3
WHOM_12	7	10	7.00E+03	16	32	3
WHOM_1	27	10000	2.70E+07	0.0015625	0.003125	4
WHOM_2	29	10000	2.90E+07	0.015625	0.03125	4
WHOM_3	25	10000	2.50E+07	0.03125	0.0625	4
WHOM_4	19	10000	1.90E+07	0.0625	0.125	4
WHOM_5	12	1000	1.20E+06	0.125	0.25	4
WHOM_6	6	100	6.00E+04	0.25	0.5	4
WHOM_7	8	10	8.00E+03	0.5	1	4
WHOM_8	6	10	6.00E+03	1	2	4
WHOM_9	6	1	6.00E+02	2	4	4
WHOM_10	9	1	9.00E+02	4	8	4
WHOM_11	16	1	1.60E+03	8	16	4
WHOM_12	11	1	1.10E+03	16	32	4
WHOM_1	23	100000	2.30E+08	0.0015625	0.003125	5
WHOM_2	10	100000	1.00E+08	0.015625	0.03125	5
WHOM_3	16	100000	1.60E+08	0.03125	0.0625	5
WHOM_4	16	100000	1.60E+08	0.0625	0.125	5
WHOM_5	23	1000	2.30E+06	0.125	0.25	5
WHOM_6	4	100	4.00E+04	0.25	0.5	5
WHOM_7	6	10	6.00E+03	0.5	1	5
WHOM_8	4	10	4.00E+03	1	2	5
WHOM_9	4	10	4.00E+03	2	4	5
WHOM_10	9	1	9.00E+02	4	8	5
WHOM_11	11	1	1.10E+03	8	16	5
WHOM_12	10	1	1.00E+03	16	32	5
WHOM_1	24	100000	2.40E+08	0.0015625	0.003125	6
WHOM_2	12	100000	1.20E+08	0.015625	0.03125	6
WHOM_3	12	100000	1.20E+08	0.03125	0.0625	6
WHOM_4	7	100000	7.00E+07	0.0625	0.125	6
WHOM_5	16	1000	1.60E+06	0.125	0.25	6
WHOM_6	4	10	4.00E+03	0.25	0.5	6
WHOM_7	2	10	2.00E+03	0.5	1	6
WHOM_8	18	1	1.80E+03	1	2	6
WHOM_9	9	1	9.00E+02	2	4	6
WHOM_10	7	1	7.00E+02	4	8	6
WHOM_11	6	1	6.00E+02	8	16	6
WHOM_12	6	1	6.00E+02	16	32	6
