ID,Time,Time unit,Biomarker,Measurement,Biomarker unit,Concentration,Concentration unit
1,0,h,Bacterial count,200000.0,CFU/ml,,
1,4,h,Bacterial count,8000000.0,CFU/ml,,
1,5,h,Bacterial count,10000000.0,CFU/ml,,
1,6,h,Bacterial count,11000000.0,CFU/ml,,
1,7,h,Bacterial count,32000000.0,CFU/ml,,
1,8,h,Bacterial count,27000000.0,CFU/ml,,
1,9,h,Bacterial count,230000000.0,CFU/ml,,
1,10,h,Bacterial count,240000000.0,CFU/ml,,
1,4,h,,,,3.125,ng/ml
2,0,h,Bacterial count,200000.0,CFU/ml,,
2,4,h,Bacterial count,7000000.0,CFU/ml,,
2,5,h,Bacterial count,13000000.0,CFU/ml,,
2,6,h,Bacterial count,12000000.0,CFU/ml,,
2,7,h,Bacterial count,24000000.0,CFU/ml,,
2,8,h,Bacterial count,29000000.0,CFU/ml,,
2,9,h,Bacterial count,100000000.0,CFU/ml,,
2,10,h,Bacterial count,120000000.0,CFU/ml,,
2,4,h,,,,31.25,ng/ml
3,0,h,Bacterial count,200000.0,CFU/ml,,
3,4,h,Bacterial count,10000000.0,CFU/ml,,
3,5,h,Bacterial count,16000000.0,CFU/ml,,
3,6,h,Bacterial count,12000000.0,CFU/ml,,
3,7,h,Bacterial count,22000000.0,CFU/ml,,
3,8,h,Bacterial count,25000000.0,CFU/ml,,
3,9,h,Bacterial count,160000000.0,CFU/ml,,
3,10,h,Bacterial count,120000000.0,CFU/ml,,
3,4,h,,,,62.5,ng/ml
4,0,h,Bacterial count,200000.0,CFU/ml,,
4,4,h,Bacterial count,10000000.0,CFU/ml,,
4,5,h,Bacterial count,12000000.0,CFU/ml,,
4,6,h,Bacterial count,10000000.0,CFU/ml,,
4,7,h,Bacterial count,22000000.0,CFU/ml,,
4,8,h,Bacterial count,19000000.0,CFU/ml,,
4,9,h,Bacterial count,160000000.0,CFU/ml,,
4,10,h,Bacterial count,70000000.0,CFU/ml,,
4,4,h,,,,125.0,ng/ml
5,0,h,Bacterial count,200000.0,CFU/ml,,
5,4,h,Bacterial count,9000000.0,CFU/ml,,
5,5,h,Bacterial count,12000000.0,CFU/ml,,
5,6,h,Bacterial count,5000000.0,CFU/ml,,
5,7,h,Bacterial count,5000000.0,CFU/ml,,
5,8,h,Bacterial count,1200000.0,CFU/ml,,
5,9,h,Bacterial count,2300000.0,CFU/ml,,
5,10,h,Bacterial count,1600000.0,CFU/ml,,
5,4,h,,,,250.0,ng/ml
6,0,h,Bacterial count,200000.0,CFU/ml,,
6,4,h,Bacterial count,5000000.0,CFU/ml,,
6,5,h,Bacterial count,1000000.0,CFU/ml,,
6,6,h,Bacterial count,300000.0,CFU/ml,,
6,7,h,Bacterial count,130000.0,CFU/ml,,
6,8,h,Bacterial count,60000.0,CFU/ml,,
6,9,h,Bacterial count,40000.0,CFU/ml,,
6,10,h,Bacterial count,4000.0,CFU/ml,,
6,4,h,,,,500.0,ng/ml
7,0,h,Bacterial count,200000.0,CFU/ml,,
7,4,h,Bacterial count,5000000.0,CFU/ml,,
7,5,h,Bacterial count,130000.0,CFU/ml,,
7,6,h,Bacterial count,30000.0,CFU/ml,,
7,7,h,Bacterial count,40000.0,CFU/ml,,
7,8,h,Bacterial count,8000.0,CFU/ml,,
7,9,h,Bacterial count,6000.0,CFU/ml,,
7,10,h,Bacterial count,2000.0,CFU/ml,,
7,4,h,,,,1000.0,ng/ml
8,0,h,Bacterial count,200000.0,CFU/ml,,
8,4,h,Bacterial count,5000000.0,CFU/ml,,
8,5,h,Bacterial count,70000.0,CFU/ml,,
8,6,h,Bacterial count,40000.0,CFU/ml,,
8,7,h,Bacterial count,13000.0,CFU/ml,,
8,8,h,Bacterial count,6000.0,CFU/ml,,
8,9,h,Bacterial count,4000.0,CFU/ml,,
8,10,h,Bacterial count,1800.0,CFU/ml,,
8,4,h,,,,2000.0,ng/ml
9,0,h,Bacterial count,200000.0,CFU/ml,,
9,4,h,Bacterial count,4000000.0,CFU/ml,,
9,5,h,Bacterial count,60000.0,CFU/ml,,
9,6,h,Bacterial count,3000.0,CFU/ml,,
9,7,h,Bacterial count,6000.0,CFU/ml,,
9,8,h,Bacterial count,600.0,CFU/ml,,
9,9,h,Bacterial count,4000.0,CFU/ml,,
9,10,h,Bacterial count,900.0,CFU/ml,,
9,4,h,,,,4000.0,ng/ml
10,0,h,Bacterial count,200000.0,CFU/ml,,
10,4,h,Bacterial count,300000.0,CFU/ml,,
10,5,h,Bacterial count,30000.0,CFU/ml,,
10,6,h,Bacterial count,4000.0,CFU/ml,,
10,7,h,Bacterial count,4000.0,CFU/ml,,
10,8,h,Bacterial count,900.0,CFU/ml,,
10,9,h,Bacterial count,900.0,CFU/ml,,
10,10,h,Bacterial count,700.0,CFU/ml,,
10,4,h,,,,8000.0,ng/ml
11,0,h,Bacterial count,200000.0,CFU/ml,,
11,4,h,Bacterial count,1100000.0,CFU/ml,,
11,5,h,Bacterial count,30000.0,CFU/ml,,
11,6,h,Bacterial count,6000.0,CFU/ml,,
11,7,h,Bacterial count,5000.0,CFU/ml,,
11,8,h,Bacterial count,1600.0,CFU/ml,,
11,9,h,Bacterial count,1100.0,CFU/ml,,
11,10,h,Bacterial count,600.0,CFU/ml,,
11,4,h,,,,16000.0,ng/ml
12,0,h,Bacterial count,200000.0,CFU/ml,,
12,4,h,Bacterial count,1100000.0,CFU/ml,,
12,5,h,Bacterial count,100000.0,CFU/ml,,
12,6,h,Bacterial count,5000.0,CFU/ml,,
12,7,h,Bacterial count,7000.0,CFU/ml,,
12,8,h,Bacterial count,1100.0,CFU/ml,,
12,9,h,Bacterial count,1000.0,CFU/ml,,
12,10,h,Bacterial count,600.0,CFU/ml,,
12,4,h,,,,32000.0,ng/ml
