ID,Time,Biomarker,Measurement,Duration,Dose,Biomarker unit,Dose unit,Time unit
1,0.0,Bacterial count,222225.0,,,CFU/ml,ng,h
1,1.0,Bacterial count,400855.0,,,CFU/ml,ng,h
1,2.0,Bacterial count,1487240.0,,,CFU/ml,ng,h
1,3.0,Bacterial count,2208230.0,,,CFU/ml,ng,h
1,4.0,Bacterial count,3046306.0,,,CFU/ml,ng,h
1,5.0,Bacterial count,11994151.0,,,CFU/ml,ng,h
1,6.0,Bacterial count,47299184.0,,,CFU/ml,ng,h
1,7.0,Bacterial count,74284045.0,,,CFU/ml,ng,h
1,8.0,Bacterial count,46967557.0,,,CFU/ml,ng,h
1,9.0,Bacterial count,63550050.0,,,CFU/ml,ng,h
1,10.0,Bacterial count,199585023.0,,,CFU/ml,ng,h
1,11.0,Bacterial count,654633504.0,,,CFU/ml,ng,h
1,12.0,Bacterial count,265120770.0,,,CFU/ml,ng,h
1,13.0,Bacterial count,2485310898.0,,,CFU/ml,ng,h
1,14.0,Bacterial count,2609294840.0,,,CFU/ml,ng,h
1,15.0,Bacterial count,8066896096.0,,,CFU/ml,ng,h
1,16.0,Bacterial count,19867079006.0,,,CFU/ml,ng,h
1,17.0,Bacterial count,50326984923.0,,,CFU/ml,ng,h
1,18.0,Bacterial count,180922665440.0,,,CFU/ml,ng,h
1,19.0,Bacterial count,607705155028.0,,,CFU/ml,ng,h
1,20.0,Bacterial count,562375356155.0,,,CFU/ml,ng,h
1,21.0,Bacterial count,3263761219580.0,,,CFU/ml,ng,h
1,22.0,Bacterial count,1586565002250.0,,,CFU/ml,ng,h
1,23.0,Bacterial count,6488286202383.0,,,CFU/ml,ng,h
1,24.0,Bacterial count,19135535557208.0,,,CFU/ml,ng,h
1,25.0,Bacterial count,21747602410732.0,,,CFU/ml,ng,h
1,26.0,Bacterial count,24919074804687.0,,,CFU/ml,ng,h
1,27.0,Bacterial count,46681191008298.0,,,CFU/ml,ng,h
1,28.0,Bacterial count,138616141998215.0,,,CFU/ml,ng,h
1,29.0,Bacterial count,480055233000692.0,,,CFU/ml,ng,h
1,30.0,Bacterial count,437976754489087.0,,,CFU/ml,ng,h
1,31.0,Bacterial count,1656004726019937.0,,,CFU/ml,ng,h
1,32.0,Bacterial count,3703596324001781.0,,,CFU/ml,ng,h
